newid,id_original,date,comment,actual_song,actual_singer,song,singer,album,lyric,matching_fragments,cite_type,title,note,id_0123,fragment_number,lyric_number,matchlyric_number
0332,1537,2017-05-04,198846,琵琶行,"奇然, 沈谧仁",琵琶行,星月组合,高考必背曲目,【奇然】 浔阳江头夜送客，枫叶荻花秋瑟瑟。 主人下马客在船，举酒欲饮无管弦。 醉不成欢惨将别，别时茫茫江浸月。 忽闻水上琵琶声，主人忘归客不发。 寻声暗问弹者谁？琵琶声停欲语迟。 【沈谧仁】 移船相近邀相见，添酒回灯重开宴。 千呼万唤始出来，犹抱琵琶半遮面。 转轴拨弦三两声，未成曲调先有情。 弦弦掩抑声声思，似诉平生不得志。 低眉信手续续弹，说尽心中无限事。 轻拢慢捻抹复挑，初为霓裳后六幺。 【奇然】 大弦嘈嘈如急雨，小弦切切如私语，如私语。 嘈嘈切切错杂弹，大珠小珠落玉盘，落玉盘。 【沈谧仁】 间关莺语花底滑，幽咽泉流冰下难。 冰泉冷涩弦凝绝，凝绝不通声暂歇。 别有幽愁暗恨生，此时无声胜有声，胜有声。 银瓶乍破水浆迸，铁骑突出刀枪鸣，刀枪鸣。 曲终收拨当心画，四弦一声如裂帛，如裂帛。 东船西舫悄无言，唯见江心秋月白，秋月白。 （念白） 沉吟放拨插弦中，整顿衣裳起敛容。 自言本是京城女，家在虾蟆陵下住。 十三学得琵琶成，名属教坊第一部。 曲罢曾教善才服，妆成每被秋娘妒。 【奇然】 五陵年少争缠头，一曲红绡不知数。 钿头银篦击节碎，血色罗裙翻酒污。 【沈谧仁】 今年欢笑复明年，秋月春风等闲度。 弟走从军阿姨死，暮去朝来颜色故。 【奇然】 门前冷落鞍马稀，老大嫁作商人妇，商人妇。 商人重利轻别离，前月浮梁买茶去，买茶去。 【合】 去来江口守空船，绕船月明江水寒，江水寒。 夜深忽梦少年事，梦啼妆泪红阑干，红阑干。 【奇然】 我闻琵琶已叹息，又闻此语重唧唧。 同是天涯沦落人，相逢何必曾相识！ 我从去年辞帝京，谪居卧病浔阳城。 浔阳地僻无音乐，终岁不闻丝竹声。 住近湓江地低湿，黄芦苦竹绕宅生。 其间旦暮闻何物？杜鹃啼血猿哀鸣。 【沈谧仁】 春江花朝秋月夜，往往取酒还独倾。 岂无山歌与村笛？呕哑嘲哳难为听。 今夜闻君琵琶语，如听仙乐耳暂明。 【合】 莫辞更坐弹一曲，为君翻作琵琶行，琵琶行。 感我此言良久立，却坐促弦弦转急，弦转急。 凄凄不似向前声，满座重闻皆掩泣，皆掩泣。 座中泣下谁最多？江州司马青衫湿，青衫湿。 【奇然】 江州司马青衫湿。  字音指导：巫医子  念白：巫医子  绘图：叉歪  PV：伊撒尔,"相逢何必曾相识, 同是天涯沦落人, 相逢何必曾相识, 同是天涯沦落人, 相逢何必曾相识, 同是天涯沦落人, 相逢何必曾相识, 同是天涯沦落人",1,0,多首古诗词，拿来背诵,305,14,248,56
0897,3468,2017-05-20,167609,椿,沈以诚,椿,沈以诚,椿,恍惚间浸透了回忆 漫漫的回忆存在的回忆 只看见遗忘的笑脸 纯洁的笑脸不在身边 想实现从前的诺言 不轻的诺言和你的诺言 却描绘无期限的诗 由寓意的诗刻画的线 乔木落叶告诉我时间变迁 你仍旧倚靠石头看岁岁年年 惊觉两鬓霜白长叹一声哀怨 也不过匆匆弹指间 不在意我存在你心里面 只记得当时没有那么远 一眼朝如青丝暮成雪 美梦惊你不在眼前 我想给你一颗我的眼 倒映着曾拾起的缘 若皆是一场镜花水月 也不想忘记你的颜 唯一心愿  恍惚间浸透了回忆 漫漫的回忆存在的回忆 只看见遗忘的笑脸 纯洁的笑脸不在身边 想实现从前的诺言 不轻的诺言和你的诺言 却描绘无期限的诗 由寓意的诗刻画的线 乔木落叶告诉我时间变迁 你仍旧倚靠石头看岁岁年年 惊觉两鬓霜白长叹一声哀怨 也不过匆匆弹指间 不在意我存在你心里面 只记得当时没有那么远 一眼朝如青丝暮成雪 美梦惊你不在眼前 我想给你一颗我的眼 倒映着曾拾起的缘 若皆是一场镜花水月 也不想忘记你的颜 唯一心愿,"朝如青丝暮成雪, 朝如青丝暮成雪",2,0,,840,7,376,14
0985,3685,2018-04-14,143535,假装,陈雪凝,假装,陈雪凝,拾陆,红了樱桃绿了芭蕉 你走你的独木桥我唱我调 谁的孤独它像似把刀 杀了我的外婆桥 别再犯傻再剪短发 你送的鞋子合脚它又怎会掉 谁的无情它像似毒药 喝下不煎熬 我想留在你的身边 深情款款多么可怜 你无辜的像演员 边说边声泪俱下表现 故事开始总是很甜 岁月流逝人心转变 这是最后一支烟 你信誓旦旦说着谎言 红了樱桃绿了芭蕉 你走你的独木桥我唱我调 谁的孤独它像似把刀 杀了我的外婆桥 别再犯傻再剪短发 你送的鞋子合脚它又怎会掉 谁的无情它像似毒药 喝下不煎熬 在我身后开了一枪 鲜血淋漓渲染了墙 用最后一丝余光 我已释然你何必假装 红了樱桃绿了芭蕉 你走你的独木桥我唱我调 谁的孤独它像似把刀 杀了我的外婆桥 别再犯傻再剪短发 你送的鞋子合脚它又怎会掉 谁的无情它像似毒药 喝下不煎熬 当初炽热的心已凉 一朝一夕笑我痴狂 所有苦痛我一人扛假装坚强 你难过的太假装 你凭什么念念不忘 人一定要学会成长 别再犯傻再剪短发 你送的鞋子合脚它又怎会掉 谁的无情它像似毒药 喝下不煎熬  后期/混音：朱建伟 录音：ACG音乐 监制：317,"红了樱桃绿了芭蕉, 红了樱桃绿了芭蕉, 红了樱桃绿了芭蕉",2,0,,925,8,388,24
0315,1452,2017-12-25,117862,无问,毛不易,无问,谭维维,无问,你问风为什么托着候鸟飞翔 却又吹得让他慌张 你问雨为什么滋养万物生长 却也湿透他的衣裳 你问他为什么亲吻他的伤疤 却又不能带他回家 你问我为什么还是不敢放下 明知听不到回答 如果光已忘了要将前方照亮 你会握着我的手吗 如果路会通往不知名的地方 你会跟我一起走吗 一生太短一瞬好长 我们哭着醒来又哭着遗忘 幸好啊你的手曾落在我肩膀 就像空中漂浮的 渺小的某颗尘土 它到底为什么为什么 不肯停驻 直到乌云散去风雨落幕 他会带你找到光的来处 就像手边落满了 灰尘的某一本书 它可曾单薄地 承载了谁的酸楚 尽管岁月无声流向迟暮 他会让你想起你的归途 如果光已忘了要将前方照亮 你会握着我的手吗 如果路会通往不知名的地方 你会跟我一起走吗 ,"拔剑四顾心茫然, 拔剑四顾心茫然",2,0,,288,14,223,14
0801,3233,2017-03-07,111221,Here We Are,华晨宇,Here We Are ,华晨宇,H,我越无所适从 越会事与愿违 在交错的时空 灵魂加速下坠 Hereweareherewearehereweare Hereweareherewearehereweare Hereweareherewearehereweare 梦却了无影踪  梦变换时空现实里忽明忽暗难以触碰 我站在山最顶端向夜空祈祷如有神明 这流星划过天际雨后放晴跨过星云我却看不到 没有太多诉求愿大地和平咪呢嘛呢 钢筋城市从不听到片刻安宁在轰鸣 这心灵被遗弃似疮痍 但是别再要冷漠举起双手 热情相拥别再太沉默 无关利弊或对错勇气一直在  Hereweareherewearehereweare Hereweareherewearehereweare Hereweareherewearehereweare 梦却了无影踪  看前方夜固若金汤饱受惊慌持续成长 很急速过了一夜春风来临万物生长 改掉以前的莽撞固执抵抗偏要承受物质的绑票 想要不忘初心有过的理想依然坚信 很难过当初预设所有努力做的承诺 却沦为化成风一场空 回头看再次审阅一路风景 做个矫正直到我满意 老天给了我鼓励从内心倾诉  Hereweareherewearehereweare Hereweareherewearehereweare Hereweareherewearehereweare 梦却了无影踪  Ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh  不能再徘徊着等待找借口说迫于无奈 想赢就要赶快证明我自己就趁现在 不愿做弱者就用强者姿态面对未来让我更期待 不断的进步是我的姿态迫不及待 从开始再到现在都不停留从不平庸 不懈怠不服输不从众 没停歇梦的保留我心存梦 快往前走打消这疲态 勇敢大步向前迈唤醒心中豪迈 不能再徘徊别再等待听不到现实是多无奈看不到未来还不如从现在划时代 如果想赢就得赶快来证明自己就趁现在每次眺望着窗外面对着彼岸我要改变时代 开始穿过这黎明请别灰心用我的勇气不要担心用我的全力打破瓶颈开始大计划 我把每一天都当作新开始新革命迫不及待我要改变现有格局  Hereweareherewearehereweare Hereweareherewearehereweare Hereweareherewearehereweare 梦却了无影踪 梦仍不曾改动,一夜春风来,3,0,,746,5,549,5
0194,639,2011-08-05,101977,相思,毛阿敏,相思,毛阿敏,腔.调,红豆生南国 是很遥远的事情 相思算什么 早无人在意 醉卧不夜城 处处霓虹 酒杯中好一片滥滥风情 最肯忘却古人诗 最不屑一顾是相思 守着爱怕人笑 还怕人看清 春又来看红豆开 竟不见有情人去采 烟花拥着风流真情不在 最肯忘却古人诗 最不屑一顾是相思 守着爱怕人笑 还怕人看清 春又来看红豆开 竟不见有情人去采 烟花拥着风流真情不在 最肯忘却古人诗 最不屑一顾是相思 守着爱怕人笑 还怕人看清 春又来看红豆开 竟不见有情人去采 烟花拥着风流真情不在 烟花拥着风流真情不在,红豆生南国,2,0,作为典故化用,176,5,204,5
0261,1129,2014-08-23,101034,惊鸿一面,"许嵩, 黄龄",惊鸿一面,许嵩,不如吃茶去,翻手为云覆手为雨 金盆洗手止风雨 不恋红尘却难舍回忆 每一段都有你 年少初遇常在我心 多年不减你深情 江山如画又怎能比拟 你送我的风景 柳下闻瑶琴起舞和一曲 仿佛映当年翩若惊鸿影 谁三言两语撩拨了情意 谁一颦一笑摇曳了星云 纸扇藏伏笔玄机诗文里 紫烟燃心语留香候人寻 史书列豪杰功过有几许 我今生何求惟你 年少初遇常在我心 多年不减你深情 江山如画又怎能比拟 你送我的风景 柳下闻瑶琴起舞和一曲 仿佛映当年翩若惊鸿影 谁三言两语撩拨了情意 谁一颦一笑摇曳了星云 纸扇藏伏笔玄机诗文里 紫烟燃心语留香候人寻 史书列豪杰功过有几许 我今生何求惟你 远山传来清晨悠然的曲笛 晓风掠走光阴 残月沉霜鬓里 有了你 恩怨都似飞鸿踏雪泥 柳下闻瑶琴起舞和一曲 仿佛映当年翩若惊鸿影 谁三言两语撩拨了情意 谁一颦一笑摇曳了星云 纸扇藏伏笔玄机诗文里 紫烟燃心语留香候人寻 史书列豪杰功过有几许 我今生何求惟你 我今生何求惟你,似飞鸿踏雪泥,3,0,,240,6,363,6
0034,2876,2016-11-01,97111,天若有情,黄丽玲,天若有情,张洪量,天若有情,风扬起时繁花落尽谁执笔为你绘丹青 月下独影泪湿青衣流水不付一世深情 只身回望太匆匆此生多少情与仇只愿与你长相守 无边丝雨细如愁朝来寒雨几回眸你在哪一方停留 天若有情亦无情爱到最后要分离 你轮回的印记落在我眉宇 直到有一天不能呼吸 月下独影泪湿青衣流水不付一世深情 只身回望太匆匆此生多少情与仇只愿与你长相守 无边丝雨细如愁朝来寒雨几回眸你在哪一方停留 天若有情亦无情爱到最后要分离 你轮回的印记落在我眉宇 直到有一天不能呼吸 天若有情亦无情万丈红尘我等你 用你的牵挂染尽我白发 咫尺天涯你终未远离 天若有情亦无情爱到最后要分离 你轮回的印记落在我眉宇 直到有一天不能呼吸 天若有情亦无情万丈红尘我等你 用你的牵挂染尽我白发 咫尺天涯你终未远离 小提琴1：纪新/朱锐彪/王海涛/唐韵  小提琴2：王宏/潘智/张英浩,"烧不尽春风吹又生, 天若有情天亦老, 朝如青丝暮, 天若有情天亦, 烧不尽春风吹又生, 天若有情天亦老, 朝如青丝暮, 天若有情天亦, 天若有情天亦老, 朝如青丝暮, 天若有情天亦",2,0,,617,34,280,70
0168,2659,2017-03-26,92784,声声慢,崔开潮,声声慢,陈明,急驶的马车,混音：周成 吉他：胡乔治周成 和声：愚青 青砖伴瓦漆 白马踏新泥 山花蕉叶暮色丛染红巾 屋檐洒雨滴 炊烟袅袅起 蹉跎辗转宛然的你在哪里 寻寻觅觅 冷冷清清 月落乌啼月牙落孤井 零零碎碎 点点滴滴 梦里有花梦里青草地 长发引涟漪 白布展石矶 河童撑杆摆长舟渡古稀 屋檐洒雨滴 炊烟袅袅起 蹉跎辗转宛然的你在哪里 寻寻觅觅 冷冷清清 月落乌啼月牙落孤井 零零碎碎 点点滴滴 梦里有花梦里青草地 青砖伴瓦漆 白马踏新泥 山花蕉叶暮色丛染红巾 屋檐洒雨滴 炊烟袅袅起 蹉跎辗转宛然的你在哪里,"三杯两盏淡酒, 人比黄花瘦, 眉头却上心头, 抽刀断水水, 怎敌他晚来风急, 满地黄花堆积",2,0,,545,35,256,35
0353,1653,2017-07-03,72715,通关,许嵩,通关,许嵩,通关, ,千里江陵一日,3,0,,326,6,335,6
